datetime,energy
2020-01-01 00:00:00,193.59645709695934
2020-01-01 01:00:00,193.49061164957286
2020-01-01 02:00:00,210.02206097471017
2020-01-01 03:00:00,201.12956689697364
2020-01-01 04:00:00,206.17842464507066
2020-01-01 05:00:00,204.53076284610708
2020-01-01 06:00:00,207.1944934451024
2020-01-01 07:00:00,197.6763465954043
2020-01-01 08:00:00,227.80407825711552
2020-01-01 09:00:00,217.22391390308147
2020-01-01 10:00:00,217.68718797121383
2020-01-01 11:00:00,227.14151120194208
2020-01-01 12:00:00,235.97328165732796
2020-01-01 13:00:00,222.22005924198254
2020-01-01 14:00:00,213.7308426680257
2020-01-01 15:00:00,235.79422290174375
2020-01-01 16:00:00,251.5093163110114
2020-01-01 17:00:00,233.73168098680762
2020-01-01 18:00:00,267.5969874210164
2020-01-01 19:00:00,221.10939563876516
2020-01-01 20:00:00,231.47146144934052
2020-01-01 21:00:00,238.99198948712865
2020-01-01 22:00:00,244.07312484091648
2020-01-01 23:00:00,239.410759700772
2020-01-02 00:00:00,240.29807492147805
2020-01-02 01:00:00,227.75171288581146
2020-01-02 02:00:00,238.7203572003271
2020-01-02 03:00:00,236.68663358856554
2020-01-02 04:00:00,244.91337964854594
2020-01-02 05:00:00,256.7364977860851
2020-01-02 06:00:00,257.7319651203266
2020-01-02 07:00:00,246.157864366341
2020-01-02 08:00:00,261.1465390724107
2020-01-02 09:00:00,244.07980005972325
2020-01-02 10:00:00,250.27609039993249
2020-01-02 11:00:00,247.2035721379433
2020-01-02 12:00:00,238.5909677406523
2020-01-02 13:00:00,246.67751131262742
2020-01-02 14:00:00,238.1335889863076
2020-01-02 15:00:00,264.2924322648788
2020-01-02 16:00:00,236.54285833769342
2020-01-02 17:00:00,252.08399870541166
2020-01-02 18:00:00,251.22058963195425
2020-01-02 19:00:00,249.16820284541706
2020-01-02 20:00:00,244.3066522975069
2020-01-02 21:00:00,239.08322166756952
2020-01-02 22:00:00,254.61055795064738
2020-01-02 23:00:00,244.47321234113844
2020-01-03 00:00:00,253.24503449142995
2020-01-03 01:00:00,236.82421205581528
2020-01-03 02:00:00,241.55895842122055
2020-01-03 03:00:00,262.6619597024019
2020-01-03 04:00:00,224.87907237777432
2020-01-03 05:00:00,260.4167929108383
2020-01-03 06:00:00,233.98273003346418
2020-01-03 07:00:00,232.93533914506824
2020-01-03 08:00:00,231.63080656449168
2020-01-03 09:00:00,225.82681483646897
2020-01-03 10:00:00,245.69992713437347
2020-01-03 11:00:00,231.20449528936877
2020-01-03 12:00:00,249.85690090936265
2020-01-03 13:00:00,242.5545943358386
2020-01-03 14:00:00,212.03816209354005
2020-01-03 15:00:00,221.20509122062188
2020-01-03 16:00:00,228.98398056931418
2020-01-03 17:00:00,235.30423192585536
2020-01-03 18:00:00,214.52730636892286
2020-01-03 19:00:00,210.3621813665413
2020-01-03 20:00:00,205.70785489023632
2020-01-03 21:00:00,212.17454579280297
2020-01-03 22:00:00,230.72611400032952
2020-01-03 23:00:00,201.78729359700355
2020-01-04 00:00:00,180.0988709108609
2020-01-04 01:00:00,192.0386812071519
2020-01-04 02:00:00,189.7827533397031
2020-01-04 03:00:00,202.0659466841005
2020-01-04 04:00:00,193.38018695722135
2020-01-04 05:00:00,188.39121278356654
2020-01-04 06:00:00,187.22276829323656
2020-01-04 07:00:00,189.94785789576167
2020-01-04 08:00:00,186.95903903829128
2020-01-04 09:00:00,203.76690217191106
2020-01-04 10:00:00,188.9400744171285
2020-01-04 11:00:00,190.70331077509013
2020-01-04 12:00:00,176.69226246496058
2020-01-04 13:00:00,182.9735476066174
2020-01-04 14:00:00,182.03923813692163
2020-01-04 15:00:00,191.38923022031702
2020-01-04 16:00:00,173.47701035246237
2020-01-04 17:00:00,169.88006171327228
2020-01-04 18:00:00,178.8215095938911
2020-01-04 19:00:00,164.4236192940569
2020-01-04 20:00:00,170.15535236966878
2020-01-04 21:00:00,163.91757570740495
2020-01-04 22:00:00,165.71459464578228
2020-01-04 23:00:00,149.42703792569995
2020-01-05 00:00:00,159.70113823586433
2020-01-05 01:00:00,166.02977491451801
2020-01-05 02:00:00,162.2016142104714
2020-01-05 03:00:00,165.01289032206532
2020-01-05 04:00:00,151.91801034564907
2020-01-05 05:00:00,151.89242735736266
2020-01-05 06:00:00,126.28744157736189
2020-01-05 07:00:00,140.50413586226634
2020-01-05 08:00:00,174.93276718143184
2020-01-05 09:00:00,164.9065916525515
2020-01-05 10:00:00,145.92046772357727
2020-01-05 11:00:00,162.24448909570495
2020-01-05 12:00:00,149.3141782253078
2020-01-05 13:00:00,153.8390235095021
2020-01-05 14:00:00,133.64404786355385
2020-01-05 15:00:00,162.3292140385192
2020-01-05 16:00:00,150.14201005737294
2020-01-05 17:00:00,142.10026638226896
2020-01-05 18:00:00,141.30465455831222
2020-01-05 19:00:00,145.75647029984597
2020-01-05 20:00:00,155.66059439904606
2020-01-05 21:00:00,152.05827671512145
